Bb, SNR B, V_b, SNR V
4.3, 85.0, 18.3, 189.6
6.3, 111.3, 17.7, 113.8
6.3, 127.3, 18.7, 171.1
7.7, 179.8, 13.7, 172.0
6.3, 920.3, 17.3, 874.5
9.0, 111.3, 13.3, 144.4
5.3, 143.5, 15.7, 232.0
6.3, 170.9, 15.0, 98.4
6.0, 221.1, 15.8, 352.5
6.0, 87.3, 14.0, 178.7
6.5, 281.3, 14.0, 295.4
6.0, 220.9, 21.0, 260.8
6.0, 102.2, 15.8, 132.0
6.0, 470.4, 15.0, 474.9
6.3, 195.9, 16.7, 275.2
6.3, 2480.3, 15.5, 2379.0
6.0, 177.9, 21.0, 313.8
6.0, 97.1, 19.0, 173.4
5.0, 132.5, 21.7, 186.0
6.0, 531.4, 18.0, 892.6
6.3, 419.5, 17.7, 444.8
6.3, 298.7, 20.0, 433.7
10.0, 125.7, 13.0, 152.3
6.3, 325.2, 17.7, 337.3



